Year,CNG,Biodiesel,E85,LNG,Propane,Electric,RNG,Hydrogen
2004,89,21,16,0,39,3,0,0
2005,56,47,26,8,32,2,0,0.05
2006,81,63,45,16,42,5,0,0.09
2007,102,61,37,9,30,5,0,0.12
2008,104,74,37,14,25,4,0,0.07
2009,85,39,73,12,18,29,0,0.05
2010,141,29,39,23,18,9,0,0.03
2011,167,70,49,28,19,16,0,0.29
2012,191,59,38,21,27,12,0,0.14
2013,231,61,48,22,27,20,0,0.33
2014,293,59,51,34,32,27,1,0.32
2015,402,78,68,53,37,33,1,0.62
2016,430,102,71,45,45,41,7,0.44
2017,426,94,86,47,44,26,13,0.30
2018,411,116,71,52,52,45,16,1.85
2019,426,117,72,43,62,49,19,0.51
2020,337,125,73,31,45,39,34,0.59
2021,354,85,76,32,45,48,24,0.70

